Serial number:,2045101
Channel:,CH1
Start date:,2024/04/04,Start time:,23:44:07
Sample:,1s
Reading #,Reading
NO.,Voltage,Current,Power,Status
1,5.059,0.425,2.150,CV
2,5.059,0.488,2.469,CV
3,5.059,0.487,2.464,CV
4,5.059,0.487,2.464,CV
5,5.059,0.692,3.501,CV
6,5.059,0.571,2.889,CV
7,5.059,0.574,2.904,CV
8,5.059,0.487,2.464,CV
9,5.059,0.599,3.030,CV
10,5.059,0.616,3.116,CV
11,5.059,0.601,3.040,CV
12,5.059,0.548,2.772,CV
13,5.059,0.498,2.519,CV
14,5.059,0.556,2.813,CV
15,5.059,0.573,2.899,CV
16,5.059,0.486,2.459,CV
17,5.059,0.487,2.464,CV
18,5.059,0.488,2.469,CV
19,5.059,0.425,2.150,CV
20,5.059,0.425,2.150,CV
21,5.059,0.533,2.696,CV
22,5.059,0.427,2.160,CV
23,5.059,0.428,2.165,CV
24,5.059,0.478,2.418,CV
25,5.059,0.425,2.150,CV
26,5.059,0.487,2.464,CV
27,5.059,0.489,2.474,CV
28,5.059,0.486,2.459,CV
29,5.059,0.486,2.459,CV
30,5.059,0.486,2.459,CV
31,5.059,0.427,2.160,CV
32,5.059,0.488,2.469,CV
33,5.059,0.488,2.469,CV
34,5.059,0.492,2.489,CV
35,5.059,0.491,2.484,CV
36,5.059,0.486,2.459,CV
37,5.059,0.485,2.454,CV
38,5.059,0.591,2.990,CV
39,5.059,0.645,3.263,CV
40,5.059,0.592,2.995,CV
41,5.059,0.588,2.975,CV
42,5.059,0.633,3.202,CV
43,5.059,1.084,5.484,CV
44,5.059,0.997,5.044,CV
45,5.059,0.979,4.953,CV
46,5.059,0.974,4.927,CV
47,5.059,1.040,5.261,CV
48,5.059,0.980,4.958,CV
49,5.059,0.906,4.583,CV
50,5.059,1.126,5.696,CV
51,5.059,0.968,4.897,CV
52,5.059,0.894,4.523,CV
53,5.059,0.986,4.988,CV
54,5.059,0.967,4.892,CV
55,5.059,0.943,4.771,CV
56,5.059,0.969,4.902,CV
57,5.059,0.959,4.852,CV
58,5.059,0.930,4.705,CV
59,5.059,0.933,4.720,CV
60,5.059,1.023,5.175,CV
61,5.059,0.988,4.998,CV
62,5.059,1.019,5.155,CV
63,5.059,0.942,4.766,CV
64,5.059,0.983,4.973,CV
65,5.059,0.900,4.553,CV
66,5.059,0.980,4.958,CV
67,5.059,1.059,5.357,CV
68,5.059,1.029,5.206,CV
69,5.059,0.962,4.867,CV
70,5.059,1.083,5.479,CV
71,5.059,0.930,4.705,CV
72,5.059,1.091,5.519,CV
73,5.059,0.987,4.993,CV
74,5.059,0.978,4.948,CV
75,5.059,1.109,5.610,CV
76,5.059,1.219,6.167,CV
77,5.059,1.001,5.064,CV
78,5.059,1.033,5.226,CV
79,5.059,1.021,5.165,CV
80,5.059,0.997,5.044,CV
81,5.059,0.976,4.938,CV
82,5.059,0.992,5.019,CV
83,5.059,0.986,4.988,CV
84,5.059,0.989,5.003,CV
85,5.059,0.995,5.034,CV
86,5.059,0.993,5.024,CV
87,5.059,1.011,5.115,CV
88,5.059,1.156,5.848,CV
89,5.059,0.931,4.710,CV
90,5.059,0.981,4.963,CV
91,5.059,1.058,5.352,CV
92,5.059,1.078,5.454,CV
93,5.059,0.929,4.700,CV
94,5.059,0.989,5.003,CV
95,5.059,0.922,4.664,CV
96,5.059,0.997,5.044,CV
97,5.059,0.967,4.892,CV
98,5.059,1.001,5.064,CV
99,5.059,1.059,5.357,CV
100,5.059,1.097,5.550,CV
101,5.059,0.965,4.882,CV
102,5.059,0.963,4.872,CV
103,5.059,0.958,4.847,CV
104,5.059,0.965,4.882,CV
105,5.059,0.889,4.497,CV
106,5.059,1.122,5.676,CV
107,5.059,1.028,5.201,CV
108,5.059,0.962,4.867,CV
109,5.059,1.078,5.454,CV
110,5.059,0.961,4.862,CV
111,5.059,0.945,4.781,CV
112,5.059,0.934,4.725,CV
113,5.059,1.014,5.130,CV
114,5.059,1.042,5.271,CV
115,5.059,1.015,5.135,CV
116,5.059,0.986,4.988,CV
117,5.059,0.988,4.998,CV
118,5.059,1.066,5.393,CV
119,5.059,1.042,5.271,CV
120,5.059,0.983,4.973,CV
121,5.059,1.028,5.201,CV
122,5.059,1.051,5.317,CV
123,5.059,0.963,4.872,CV
124,5.059,1.140,5.767,CV
125,5.059,1.052,5.322,CV
126,5.059,0.936,4.735,CV
127,5.059,1.049,5.307,CV
128,5.059,0.897,4.538,CV
129,5.059,1.006,5.089,CV
130,5.059,0.953,4.821,CV
131,5.059,0.913,4.619,CV
132,5.059,1.005,5.084,CV
133,5.059,0.993,5.024,CV
134,5.059,1.020,5.160,CV
135,5.059,1.009,5.105,CV
136,5.059,0.965,4.882,CV
137,5.059,1.019,5.155,CV
138,5.059,0.896,4.533,CV
139,5.059,0.976,4.938,CV
140,5.059,0.993,5.024,CV
141,5.059,0.926,4.685,CV
142,5.059,1.051,5.317,CV
143,5.059,1.013,5.125,CV
144,5.059,0.939,4.750,CV
145,5.059,1.074,5.433,CV
146,5.059,1.019,5.155,CV
147,5.059,0.913,4.619,CV
148,5.059,1.048,5.302,CV
149,5.059,1.084,5.484,CV
150,5.059,0.959,4.852,CV
151,5.059,0.966,4.887,CV
152,5.059,0.845,4.275,CV
153,5.059,1.073,5.428,CV
154,5.059,0.992,5.019,CV
155,5.059,0.949,4.801,CV
156,5.059,0.951,4.811,CV
157,5.059,1.163,5.884,CV
158,5.059,0.925,4.680,CV
159,5.059,0.939,4.750,CV
160,5.059,1.132,5.727,CV
161,5.059,1.068,5.403,CV
162,5.059,0.964,4.877,CV
163,5.059,1.027,5.196,CV
164,5.059,0.974,4.927,CV
165,5.059,0.989,5.003,CV
166,5.059,1.057,5.347,CV
167,5.059,0.890,4.503,CV
168,5.059,0.916,4.634,CV
169,5.059,1.054,5.332,CV
170,5.059,0.962,4.867,CV
171,5.059,0.970,4.907,CV
172,5.059,0.977,4.943,CV
173,5.059,1.054,5.332,CV
174,5.059,0.991,5.013,CV
175,5.059,0.999,5.054,CV
176,5.059,0.970,4.907,CV
177,5.059,1.170,5.919,CV
178,5.059,1.006,5.089,CV
179,5.059,1.051,5.317,CV
180,5.059,0.905,4.578,CV
181,5.059,0.990,5.008,CV
182,5.059,1.059,5.357,CV
183,5.059,1.066,5.393,CV
184,5.059,0.985,4.983,CV
185,5.059,1.050,5.312,CV
186,5.059,0.945,4.781,CV
187,5.059,1.052,5.322,CV
188,5.059,0.879,4.447,CV
189,5.059,1.021,5.165,CV
190,5.059,1.045,5.287,CV
191,5.059,0.991,5.013,CV
192,5.059,0.971,4.912,CV
193,5.059,1.073,5.428,CV
194,5.059,0.943,4.771,CV
195,5.059,1.062,5.373,CV
196,5.059,0.972,4.917,CV
197,5.059,0.981,4.963,CV
198,5.059,0.962,4.867,CV
199,5.059,1.022,5.170,CV
200,5.059,1.009,5.105,CV
201,5.059,1.008,5.099,CV
202,5.059,0.892,4.513,CV
203,5.059,1.010,5.110,CV
204,5.059,1.025,5.185,CV
205,5.059,0.928,4.695,CV
206,5.059,1.018,5.150,CV
207,5.059,0.936,4.735,CV
208,5.059,0.976,4.938,CV
209,5.059,1.083,5.479,CV
210,5.059,1.061,5.368,CV
211,5.059,1.026,5.191,CV
212,5.059,0.976,4.938,CV
213,5.059,1.005,5.084,CV
214,5.059,1.008,5.099,CV
215,5.059,0.848,4.290,CV
216,5.059,1.095,5.540,CV
217,5.059,1.062,5.373,CV
218,5.059,1.012,5.120,CV
219,5.059,0.934,4.725,CV
220,5.059,0.983,4.973,CV
221,5.059,1.036,5.241,CV
222,5.059,0.967,4.892,CV
223,5.059,0.992,5.019,CV
224,5.059,1.134,5.737,CV
225,5.059,1.011,5.115,CV
226,5.059,0.886,4.482,CV
227,5.059,1.069,5.408,CV
228,5.059,0.969,4.902,CV
229,5.059,1.118,5.656,CV
230,5.059,0.995,5.034,CV
231,5.059,1.030,5.211,CV
232,5.059,1.045,5.287,CV
233,5.059,0.988,4.998,CV
