Serial number:,2045101
Channel:,CH1
Start date:,2024/04/05,Start time:,01:12:40
Sample:,1s
Reading #,Reading
NO.,Voltage,Current,Power,Status
1,5.060,0.698,3.532,CV
2,5.060,0.619,3.132,CV
3,5.059,0.623,3.152,CV
4,5.059,0.618,3.126,CV
5,5.059,0.619,3.132,CV
6,5.059,0.619,3.132,CV
7,5.059,0.598,3.025,CV
8,5.060,0.567,2.869,CV
9,5.060,0.569,2.879,CV
10,5.059,0.619,3.132,CV
11,5.059,0.619,3.132,CV
12,5.060,0.679,3.436,CV
13,5.060,0.674,3.410,CV
14,5.059,0.611,3.091,CV
15,5.059,0.668,3.379,CV
16,5.059,0.671,3.395,CV
17,5.059,0.667,3.374,CV
18,5.060,0.619,3.132,CV
19,5.060,0.619,3.132,CV
20,5.059,0.619,3.132,CV
21,5.059,0.609,3.081,CV
22,5.060,0.681,3.446,CV
23,5.059,0.619,3.132,CV
24,5.060,0.618,3.127,CV
25,5.059,0.707,3.577,CV
26,5.059,0.684,3.460,CV
27,5.059,0.714,3.612,CV
28,5.059,0.755,3.820,CV
29,5.059,0.725,3.668,CV
30,5.059,0.766,3.875,CV
31,5.060,0.676,3.421,CV
32,5.059,0.721,3.648,CV
33,5.060,0.794,4.018,CV
34,5.059,0.718,3.632,CV
35,5.059,0.912,4.614,CV
36,5.060,0.873,4.417,CV
37,5.059,0.979,4.953,CV
38,5.059,0.906,4.583,CV
39,5.060,0.925,4.681,CV
40,5.060,0.968,4.898,CV
41,5.059,0.905,4.578,CV
42,5.059,0.905,4.578,CV
43,5.059,0.996,5.039,CV
44,5.059,0.924,4.675,CV
45,5.059,1.068,5.403,CV
46,5.059,1.310,6.627,CV
47,5.059,1.332,6.739,CV
48,5.059,1.316,6.658,CV
49,5.059,1.403,7.098,CV
50,5.060,1.269,6.421,CV
51,5.060,1.249,6.320,CV
52,5.060,1.345,6.806,CV
53,5.059,1.211,6.126,CV
54,5.060,1.311,6.634,CV
55,5.059,1.456,7.366,CV
56,5.059,1.450,7.336,CV
57,5.059,1.350,6.830,CV
58,5.059,1.388,7.022,CV
59,5.060,1.364,6.902,CV
60,5.059,1.268,6.415,CV
61,5.060,1.399,7.079,CV
62,5.059,1.372,6.941,CV
63,5.060,1.351,6.836,CV
64,5.060,1.229,6.219,CV
65,5.059,1.352,6.840,CV
66,5.059,0.764,3.865,CV
67,5.059,0.634,3.207,CV
68,5.059,0.634,3.207,CV
69,5.060,0.635,3.213,CV
70,5.059,0.634,3.207,CV
71,5.059,0.634,3.207,CV
72,5.059,0.572,2.894,CV
73,5.060,0.576,2.915,CV
74,5.059,0.619,3.132,CV
75,5.059,0.628,3.177,CV
76,5.060,0.571,2.889,CV
77,5.060,0.610,3.087,CV
78,5.059,0.619,3.132,CV
79,5.059,0.571,2.889,CV
80,5.059,0.617,3.121,CV
81,5.060,0.618,3.127,CV
82,5.059,0.651,3.293,CV
