Serial number:,2045101,,,,,,,,,,,,
Channel:,CH1,,,,,,,,,,,,
Start date:,2024/4/4,Start time:,23:05:13,,,,,,,,,,
Sample:,1s,,,,,,,,,,,,
Reading #,Reading,,,,,,,,,,,,
NO.,Voltage,Current,Power,Status,,,,,,,,,
1,5.059,0.413,2.089,CV,,,,,,,,,
2,5.059,0.413,2.089,CV,,,,,,,,,
3,5.059,0.434,2.196,CV,,,,,,,,,
4,5.059,0.352,1.781,CV,,,,,,,,,
5,5.059,0.366,1.852,CV,,,,,,,,,
6,5.059,0.401,2.029,CV,,,,,,,,,
7,5.059,0.351,1.776,CV,,,,,,,,,
8,5.059,0.413,2.089,CV,,,,,,,,,
9,5.059,0.412,2.084,CV,,,,,,,,,
10,5.059,0.413,2.089,CV,,,,,,,,,
11,5.059,0.415,2.099,CV,,,,,,,,,
12,5.059,0.413,2.089,CV,,,,,,,,,
13,5.059,0.412,2.084,CV,,,,,,,,,
14,5.059,0.413,2.089,CV,,,,,,,,,
15,5.059,0.351,1.776,CV,,,,,,,,,
16,5.059,0.351,1.776,CV,,,,,,,,,
17,5.059,0.402,2.034,CV,,,,,,,,,
18,5.059,0.379,1.917,CV,,,,,,,,,
19,5.059,0.575,2.909,CV,,,,,,,,,
20,5.059,0.517,2.616,CV,,,,,,,,,
21,5.059,0.637,3.223,CV,,,,,,,,,
22,5.059,0.697,3.526,CV,,,,,,,,,
23,5.059,0.775,3.921,CV,,,,,,,,,
24,5.059,0.716,3.622,CV,,,,,,,,,
25,5.059,0.763,3.86,CV,,,,,,,,,
26,5.059,0.744,3.764,CV,,,,,,,,,
27,5.059,0.723,3.658,CV,,,,,,,,,
28,5.059,0.632,3.197,CV,,,,,,,,,
29,5.059,0.718,3.632,CV,,,,,,,,,
30,5.059,0.758,3.835,CV,,,,,,,,,
31,5.059,0.777,3.931,CV,,,,,,,,,
32,5.059,0.637,3.223,CV,,,,,,,,,
33,5.059,0.651,3.293,CV,,,,,,,,,
34,5.059,0.613,3.101,CV,,,,,,,,,
35,5.059,0.758,3.835,CV,,,,,,,,,
