Serial number:,2045101
Channel:,CH1
Start date:,2024/04/04,Start time:,21:17:56
Sample:,1s
Reading #,Reading
NO.,Voltage,Current,Power,Status
1,5.060,0.556,2.813,CV
2,5.060,0.507,2.565,CV
3,5.059,0.507,2.565,CV
4,5.060,0.507,2.565,CV
5,5.060,0.540,2.732,CV
6,5.060,0.507,2.565,CV
7,5.060,0.507,2.565,CV
8,5.060,0.507,2.565,CV
9,5.060,0.507,2.565,CV
10,5.060,0.507,2.565,CV
11,5.060,0.508,2.570,CV
12,5.059,0.508,2.570,CV
13,5.060,0.508,2.570,CV
14,5.060,0.507,2.565,CV
15,5.060,0.508,2.570,CV
16,5.060,0.508,2.570,CV
17,5.059,0.508,2.570,CV
18,5.059,0.515,2.605,CV
19,5.060,0.677,3.426,CV
20,5.060,0.680,3.441,CV
21,5.060,0.671,3.395,CV
22,5.060,0.843,4.266,CV
23,5.060,0.747,3.780,CV
24,5.060,0.791,4.002,CV
25,5.060,0.788,3.987,CV
26,5.060,0.794,4.018,CV
27,5.060,0.806,4.078,CV
28,5.060,0.788,3.987,CV
29,5.060,0.774,3.916,CV
30,5.060,0.765,3.871,CV
31,5.060,0.761,3.851,CV
32,5.060,0.763,3.861,CV
33,5.060,0.768,3.886,CV
34,5.060,0.765,3.871,CV
35,5.060,0.761,3.851,CV
36,5.060,0.766,3.876,CV
37,5.060,0.765,3.871,CV
38,5.060,0.761,3.851,CV
39,5.060,0.765,3.871,CV
40,5.060,0.762,3.856,CV
41,5.060,0.783,3.962,CV
42,5.060,0.766,3.876,CV
43,5.060,0.763,3.861,CV
44,5.060,0.766,3.876,CV
45,5.060,0.767,3.881,CV
46,5.060,0.769,3.891,CV
47,5.060,0.766,3.876,CV
48,5.060,0.770,3.896,CV
49,5.060,0.789,3.992,CV
50,5.060,0.763,3.861,CV
51,5.060,0.767,3.881,CV
52,5.060,0.772,3.906,CV
53,5.060,0.764,3.866,CV
54,5.060,0.763,3.861,CV
55,5.060,0.769,3.891,CV
56,5.060,0.765,3.871,CV
57,5.059,0.769,3.890,CV
58,5.060,0.768,3.886,CV
59,5.060,0.768,3.886,CV
60,5.060,0.771,3.901,CV
61,5.060,0.762,3.856,CV
62,5.060,0.770,3.896,CV
63,5.060,0.770,3.896,CV
64,5.060,0.767,3.881,CV
65,5.060,0.767,3.881,CV
66,5.060,0.826,4.180,CV
67,5.060,0.767,3.881,CV
68,5.060,0.766,3.876,CV
69,5.060,0.768,3.886,CV
70,5.059,0.770,3.895,CV
71,5.060,0.765,3.871,CV
72,5.060,0.765,3.871,CV
73,5.060,0.766,3.876,CV
74,5.060,0.768,3.886,CV
75,5.060,0.766,3.876,CV
76,5.060,0.763,3.861,CV
77,5.060,0.783,3.962,CV
78,5.060,0.764,3.866,CV
79,5.060,0.768,3.886,CV
80,5.060,0.763,3.861,CV
81,5.060,0.762,3.856,CV
82,5.060,0.770,3.896,CV
83,5.059,0.767,3.880,CV
84,5.060,0.768,3.886,CV
85,5.060,0.777,3.932,CV
